dataset,key,rouge-1(F/R/P),rouge-2(F/R/P),rouge-l(F/R/P)
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,30.5/53.21/20.73,10.17/17.95/7.25,28.99/50.58/20.73
paper/173,tf_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,28.14/48.81/19.11,8.73/15.26/6.25,26.66/46.21/19.11
paper/173,idf_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,27.76/48.39/18.76,8.09/14.22/5.78,26.21/45.67/18.76
paper/173,smi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,31.42/55.26/21.13,9.89/17.6/7.04,29.62/52.05/21.13
paper/173,dsmi_simplification_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,28.49/49.92/19.24,9.98/17.68/7.11,26.94/47.22/19.24
paper/173,dsmi_diversity_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,34.68/60.4/23.48,11.58/20.43/8.26,32.77/57.01/23.48
paper/173,dsmi_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.3_150_0.3,29.97/52.57/20.24,10.11/17.92/7.21,28.32/49.63/20.24
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.01_0.3_150_0.3,32.82/57.12/22.3,10.85/19.11/7.74,31.12/54.12/22.3
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.1_0.3_150_0.3,32.27/56.11/22.0,10.79/18.92/7.71,30.71/53.37/22.0
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.2_0.3_150_0.3,31.24/54.47/21.25,10.32/18.23/7.35,29.7/51.79/21.25
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.5_0.3_150_0.3,29.15/51.02/19.8,9.45/16.68/6.74,27.68/48.44/19.8
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.7_0.3_150_0.3,28.41/49.59/19.29,9.42/16.65/6.72,26.95/47.03/19.29
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.9_0.3_150_0.3,27.55/48.12/18.57,9.04/15.94/6.46,25.94/45.28/18.57
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_1.0_0.3_150_0.3,27.29/47.78/18.39,8.91/15.75/6.35,25.73/45.02/18.39
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.01_150_0.3,28.57/50.1/19.29,9.96/17.64/7.09,27.01/47.35/19.29
paper/173,dsmi_simplification_diversity_coherence_True_make_sln_noun_verb_pronoun_prep_adj_adv_0.3_0.1_150_0.3,29.45/51.45/19.91,10.18/18.01/7.26,27.84/48.63/19.91
